"news","teaser","date.and.author"
"1","Bots Outperform Humans If They Impersonate Us","Bots masquerading as humans in a game outperformed their human opponents—but the their superiority vanished when their machine identity was revealed. Christopher Intagliata reports. ...","3 minutes ago — Christopher Intagliata"
"2","Top 10 Emerging Technologies of 2019","World-changing technologies that are poised to rattle the status quo","November 19, 2019"
"3","Hearing Is Seeing: Sound Waves Create a 3-D Display","An interactive system produces levitating images by projecting color onto a tiny bead as it zips around a darkened box","November 13, 2019 — Sophie Bushwick"
"4","Sea-thru Brings Clarity to Underwater Photos","A new algorithm counteracts the distorting impact of water","November 13, 2019 — Erik Olsen"
"5","Goodbye, Phone Calls. Hello, Loneliness","Can you really “reach out and touch someone” via text?","November 12, 2019 — Wade Roush"
"6","Quantum Computer Made from Photons Achieves a New Record","The limited system made a notable advancement on the road to beating classical machines","November 6, 2019 — Daniel Garisto"
"7","AI Beats Top Human Players at Strategy Game StarCraft II","DeepMind’s AlphaStar beat all but the very best humans at the fast-paced sci-fi video game","October 31, 2019 — Dan Garisto and Nature magazine"
"8","How Bike Sharing Can Be More Efficient","The secret—as it seems to be with pretty much everything these days—is algorithms","October 30, 2019 — Daniel Freund |  Opinion"
"9","What Do Hurricanes and Cybersecurity Have in Common?","Much like extreme weather, cyberattacks require international monitoring and cooperation","October 29, 2019 — Algirde Pipikaite and Haiyan Song |  Opinion"
"10","Your Brain on Google Maps","For better or for worse, navigation apps change our sense of direction","October 29, 2019 — Zeynep Tufekci"
"11","Using Quantum Computers to Test the Fundamentals of Physics","A newly developed algorithm opens a window into understanding the transition from quantum to classical objects","October 26, 2019 — Andrew Sornborger and Andreas Albrecht |  Opinion"
"12","Racial Bias Found in a Major Health Care Risk Algorithm","Black patients lose out on critical care when systems equate health needs with costs","October 24, 2019 — Starre Vartan"
"13","Hands-On with Google’s Quantum Computer","Staking its claim for “quantum supremacy,” the company pulls back the curtain on its landmark Sycamore chip","October 24, 2019 — Neil Savage"
"14","This Video Watches You Back","Stealing Ur Feelings sounds an alarm about how companies could use emotion-recognition technology","October 24, 2019 — Sophie Bushwick"
"15","Google Publishes Landmark Quantum Supremacy Claim","The company says that its quantum computer is the first to perform a calculation that would be practically impossible for a classical machine","October 23, 2019 — Elizabeth Gibney and Nature magazine"
"16","Congressional Ignorance Leaves the U.S. Vulnerable to Cyberthreats","Security experts say that lawmakers’ bills fall short of needed protections","October 21, 2019 — Jackson Barnett"
"17","How to Close the Tech Skills Gap","Industry involvement in computer science programs can upgrade the talent pipeline","October 15, 2019 — Tim Lee |  Opinion"
"18","50, 100 & 150 Years Ago: October 2019","Eating arsenic, what to do in case of fire, bubble computers, and more","October 12, 2019 — Daniel C. Schlenoff"
"19","Artificial Intelligence Learns to Talk Back to Bigots","Algorithms are already used to remove online hate speech. Now scientists have taught an AI to respond—which they hope might spark more discourse. Christopher Intagliata reports.","October 10, 2019 — Christopher Intagliata"
"20","Why Machine Learning Is Critical for Disaster Response","It can help decision makers answer questions such as “When?” and “How bad?”—and “How many people are in harm’s way?”","October 9, 2019 — Seth Guikema |  Opinion"
"21","New Encryption System Protects Data from Quantum Computers","As quantum computing creeps closer, IBM successfully demonstrates a way to secure sensitive information","October 8, 2019 — Sophie Bushwick"
"22","Beyond Quantum Supremacy: The Hunt for Useful Quantum Computers","Researchers search for ways to put today’s small noisy quantum systems to work","October 3, 2019 — Michael Brooks and Nature magazine"
"23","To Invent a Quantum Internet","The physicist and computer scientist Stephanie Wehner is planning and designing the next internet—a quantum one","September 28, 2019 — Natalie Wolchover and Quanta Magazine"
"24","If You Want to Freak Out, Do a Web Search of Your Symptoms  ","You can find good information, but there's a lot more bad","September 26, 2019 — Zeynep Tufekci"
"25","Humans Can Improve Technology without Really Understanding It","Small tweaks, not deep physical insight, can lead to a better mousetrap","September 26, 2019 — Gary Stix"
"26","Scientists Tripped People for Science  ","An elaborate setup allowed researchers to study how people stumble and recover ","September 23, 2019 — Jim Daley"
"27","3-D Printers Could Help Spread Weapons of Mass Destruction","Experts warn that new technology makes it easier to covertly produce WMDs","September 10, 2019 — Matthew Gault"
"28","“Particle” Robots Work Together to Perform Tasks","Clusters of decentralized units could be used in search and rescue operations or drug delivery","September 2, 2019 — Tim Hornyak"
